Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
"93,08-11-2021,Maria Carmen Civera García,1,Alcaldesa Del Ayuntamiento De Abejuela,PAR,Ayuntamiento De Abejuela,""0,00"",""0,00"",,,,"
"94,08-11-2021,José Herrero Palomar,1,Alcalde Del Ayuntamiento De Alba,PP,Ayuntamiento De Alba,""0,00"",""0,00"",,,,"
"95,08-11-2021,Juan Ignacio Val Lacosta,1,Alcalde Del Ayuntamiento De Alcaine,PSOE,Ayuntamiento De Alcaine,""0,00"",""0,00"",,,,"
"96,08-11-2021,Tomas Simon Dominguez,1,Alcalde Del Ayuntamiento De Almohaja,PAR,Ayuntamiento De Almohaja,""684,00"",""48,86"",,,,"
"97,08-11-2021,Victor Marco Arnal,1,Alcalde Del Ayuntamiento De Alpeñés,PP,Ayuntamiento De Alpeñés,""0,00"",""0,00"",,,,"
"98,08-11-2021,Jose Luis Alvir Martinez,1,Alcalde Del Ayuntamiento De Arcos De Las Salinas,PP,Ayuntamiento De Arcos De Las Salinas,""0,00"",""0,00"",,,,"
"99,08-11-2021,Juan Enrique Celma Guimera,1,Alcalde Del Ayuntamiento De Beceite,PP,Ayuntamiento De Beceite,""0,00"",""0,00"",,,,"
"100,08-11-2021,Jordi Lorenzo Bautista,1,Alcalde Del Ayuntamiento De Bronchales,CHA,Ayuntamiento De Bronchales,""0,00"",""0,00"",,,,"
"101,08-11-2021,Manuel Rando Lopez,1,Alcalde Del Ayuntamiento De Calamocha,PSOE,Ayuntamiento De Calamocha,""0,00"",""0,00"",,,,"
"102,08-11-2021,Sara Ros Cardo,1,Alcaldesa Del Ayuntamiento De Camañas,PSOE,Ayuntamiento De Camañas,""0,00"",""0,00"",,,,"
"103,08-11-2021,Ovidio Ortin Albalate,1,Alcalde Del Ayuntamiento De Ejulve,PP,Ayuntamiento De Ejulve,""0,00"",""0,00"",,,,"
"104,08-11-2021,Hector Garcia Redondo,1,Alcalde Del Ayuntamiento De Escucha,Cs,Ayuntamiento De Escucha,""140,00"",""10,00"",,,,"
"105,08-11-2021,Ivan Ferrer Rodriguez,1,Alcalde Del Ayuntamiento De Fuentes Calientes,CHA,Ayuntamiento De Fuentes Calientes,""0,00"",""0,00"",,,,"
"106,08-11-2021,Maria Asuncion Rosales Alegre,1,Alcaldesa Del Ayuntamiento De Fuentes De Rubielos,I.U.,Ayuntamiento De Fuentes De Rubielos,""0,00"",""0,00"",,,,"
"107,08-11-2021,Carmen Agud Aparicio,1,Alcaldesa Del Ayuntamiento De Fuentespalda,PAR,Ayuntamiento De Fuentespalda,""0,00"",""0,00"",,,,"
"108,08-11-2021,Oscar Castillo,1,Alcalde Del Ayuntamiento De Jabaloyas,I.N.D.,Ayuntamiento De Jabaloyas,""0,00"",""0,00"",,,,"
"109,08-11-2021,Jesus Galvez Arto,1,Alcalde Del Ayuntamiento De Jatiel,PSOE,Ayuntamiento De Jatiel,""0,00"",""0,00"",,,,"
"110,08-11-2021,Francisco Martinez Lopez,1,Alcalde Del Ayuntamiento De Martín Del Río,PSOE,Ayuntamiento De Martín Del Río,""0,00"",""0,00"",,,,"
"111,08-11-2021,Juan Diego Puerto Lozano,1,Alcalde Del Ayuntamiento De Noguera De Albarracín,PP,Ayuntamiento De Noguera De Albarracín,""0,00"",""0,00"",,,,"
"112,08-11-2021,Jose Angel Villuendas Morales,1,Alcalde Del Ayuntamiento De Obón,PAR,Ayuntamiento De Obón,""0,00"",""0,00"",,,,"
"113,08-11-2021,Francisco Javier Hernandez Collados,1,Alcalde Del Ayuntamiento De Odón,PAR,Ayuntamiento De Odón,""0,00"",""0,00"",,,,"
"114,08-11-2021,Julian Sancho Perez,1,Alcalde Del Ayuntamiento De Pancrudo,PAR,Ayuntamiento De Pancrudo,""0,00"",""0,00"",,,,"
"115,08-11-2021,Ricardo Blanch Albesa,1,Alcalde Del Ayuntamiento De Peñarroya De Tastavins,PAR,Ayuntamiento De Peñarroya De Tastavins,""0,00"",""0,00"",,,,"
"116,08-11-2021,David Aguilar Lopez,1,Alcalde Del Ayuntamiento De Pitarque,PP,Ayuntamiento De Pitarque,""0,00"",""0,00"",,,,"
"117,08-11-2021,Gloria Victoria Serrat Gracia,1,Alcaldesa Del Ayuntamiento De Portellada La,PP,Ayuntamiento De Portellada La,""0,00"",""0,00"",,,,"
"118,08-11-2021,Pedro Bello Martinez,1,Alcalde Del Ayuntamiento De Puebla De Híjar La,I.U.,Ayuntamiento De Puebla De Híjar La,""0,00"",""0,00"",,,,"
"119,08-11-2021,Jose Ramon Arrufat Gauchola,1,Alcalde Del Ayuntamiento De Ráfales,PAR,Ayuntamiento De Ráfales,""0,00"",""0,00"",,,,"
"120,08-11-2021,Jose Javier Gascon Benedicto,1,Alcalde Del Ayuntamiento De Rillo,PAR,Ayuntamiento De Rillo,""0,00"",""0,00"",,,,"
"121,08-11-2021,Angel Gracia Lucia,1,Alcalde Del Ayuntamiento De Rubielos De Mora,PSOE,Ayuntamiento De Rubielos De Mora,""0,00"",""0,00"",,,,"
"122,08-11-2021,Victoriano Jordan Codes,1,Alcalde Del Ayuntamiento De Terriente,PAR,Ayuntamiento De Terriente,""0,00"",""0,00"",,,,"
"123,08-11-2021,Javier Dalda Borja,1,Alcalde Del Ayuntamiento De Toril Y Masegoso,PSOE,Ayuntamiento De Toril Y Masegoso,""0,00"",""0,00"",,,,"
"124,08-11-2021,Carmen Garcia Cros,1,Alcaldesa Del Ayuntamiento De Torrecilla De Alcañiz,PSOE,Ayuntamiento De Torrecilla De Alcañiz,""0,00"",""0,00"",,,,"
"125,08-11-2021,Jorge Garcia Garces,1,Alcalde Del Ayuntamiento De Torrijas,PAR,Ayuntamiento De Torrijas,""0,00"",""0,00"",,,,"
"126,08-11-2021,Carlos Luis Bone Amela,1,Alcalde Del Ayuntamiento De Valderrobres,PP,Ayuntamiento De Valderrobres,""0,00"",""0,00"",,,,"
"127,08-11-2021,Pascual Gimenez Soriano,1,Alcalde Del Ayuntamiento De Vallecillo El,PP,Ayuntamiento De Vallecillo El,""0,00"",""0,00"",,,,"
"128,08-11-2021,Juan Ramon Tena Balfagon,1,Alcalde Del Ayuntamiento De Villarluengo,PAR,Ayuntamiento De Villarluengo,""0,00"",""0,00"",,,,"
"129,08-11-2021,Juan Jose Gomez Perez,1,Alcalde Del Ayuntamiento De Villel,PAR,Ayuntamiento De Villel,""0,00"",""0,00"",,,,"
"130,08-11-2021,Maria Almudena Gonzalez Hernandez,1,Alcaldesa Del Ayuntamiento De Almonacid De Toledo,PP,Ayuntamiento De Almonacid De Toledo,""0,00"",""0,00"",,,,"
"131,08-11-2021,José Manuel De Miguel Gómez,1,Alcalde Del Ayuntamiento De Camarenilla,PSOE,Ayuntamiento De Camarenilla,""0,00"",""0,00"",,,,"
"132,08-11-2021,Israel Roberto Perez Jimenez,1,Alcalde Del Ayuntamiento De Casar De Escalona El,PP,Ayuntamiento De Casar De Escalona El,""332,20"",""23,73"",,,,"
"133,08-11-2021,Luis Andres Martin Carrasco,1,Alcalde Del Ayuntamiento De Cedillo Del Condado,Cs,Ayuntamiento De Cedillo Del Condado,""31.060,49"",""2.218,61"",,,,"
"134,08-11-2021,Miguel Ángel Rodríguez Pedreño,1,Alcalde Del Ayuntamiento De Cuerva,PSOE,Ayuntamiento De Cuerva,""0,00"",""0,00"",,,,"
"135,08-11-2021,Santiago Vera Diaz Cardiel,1,Alcalde Del Ayuntamiento De Fuensalida,PSOE,Ayuntamiento De Fuensalida,""47.152,28"",""3.368,02"",,,,"
"136,08-11-2021,Roque Antonio Fernandez Avila,1,Alcalde Del Ayuntamiento De Lominchar,PP,Ayuntamiento De Lominchar,""125,00"",""8,93"",,,,"
"137,08-11-2021,Roman Jesus Jimenez Romeral,1,Alcalde Del Ayuntamiento De Marjaliza,PP,Ayuntamiento De Marjaliza,""0,00"",""0,00"",,,,"
